"","Date","Provinsi","Total.Cases","Total.Deaths","Total.Recovered","Total.Active.Cases","Location.Level","Population","Population.Density","Longitude","Latitude"
"7307",2020-10-16,"Sumatera Barat",10249,193,5517,4539,"Province",5519245,131.37,100.4650624,-0.850253225
"7308",2020-10-16,"Sumatera Selatan",7058,387,5386,1285,"Province",8217551,89.72,104.1694647,-3.216211808
"7309",2020-10-16,"Sumatera Utara",11775,492,9430,1853,"Province",14874889,203.82,99.05196442,2.191894453
"7310",2020-10-17,"Aceh",6436,237,4274,1925,"Province",5247257,90.54,96.91052174,4.225614628
"7311",2020-10-17,"Bali",10696,344,9512,840,"Province",4216171,729.43,115.1317136,-8.369471688
"7312",2020-10-17,"Banten",7591,225,5834,1532,"Province",10722374,1109.64,106.1090043,-6.456736388
"7313",2020-10-17,"Bengkulu",862,43,728,91,"Province",1999539,100.38,102.3384213,-3.533583627
"7314",2020-10-17,"DKI Jakarta",93357,2044,78206,13107,"Province",10846145,16334.31,106.8361183,-6.204698991
"7315",2020-10-17,"Daerah Istimewa Yogyakarta",3285,86,2585,614,"Province",3631015,1158.9,110.4448783,-7.89450185
"7316",2020-10-17,"Gorontalo",2964,78,2778,108,"Province",1180651,104.88,122.3760581,0.687002604
"7318",2020-10-17,"Jambi",968,20,375,573,"Province",3493357,69.79,102.7236404,-1.69769766
"7319",2020-10-17,"Jawa Barat",30021,568,20418,9035,"Province",45161325,1276.55,107.6037083,-6.920432083
"7320",2020-10-17,"Jawa Tengah",28725,1603,23055,4067,"Province",36364072,1108.64,110.2011149,-7.259097177
"7321",2020-10-17,"Jawa Timur",48773,3954,44253,566,"Province",40479023,846.78,112.7329414,-7.723345579
"7322",2020-10-17,"Kalimantan Barat",1413,9,1224,180,"Province",5422814,36.81,111.1211776,-0.086474572
"7323",2020-10-17,"Kalimantan Selatan",11403,453,10068,882,"Province",4023049,103.84,115.4385783,-2.993594979
"7324",2020-10-17,"Kalimantan Tengah",4081,145,3458,478,"Province",2570289,16.74,113.4176536,-1.602484653
"7325",2020-10-17,"Kalimantan Timur",11501,439,8676,2386,"Province",3552191,27.52,116.4684405,0.45385803
"7326",2020-10-17,"Kalimantan Utara",691,5,597,89,"Province",648407,8.59,116.2188791,2.891012621
"7327",2020-10-17,"Kepulauan Bangka Belitung",500,6,464,30,"Province",1379767,84.01,106.5499324,-2.447444127
"7328",2020-10-17,"Kepulauan Riau",2768,69,2231,468,"Province",1929400,235.24,108.261746,3.916346
"7329",2020-10-17,"Lampung",1285,48,900,337,"Province",9095591,262.7,105.0214366,-4.916792975
"7330",2020-10-17,"Maluku",3521,42,2655,824,"Province",1847097,39.37,129.576792,-3.192572
"7331",2020-10-17,"Maluku Utara",2120,74,1929,117,"Province",1307803,40.89,127.5391072,0.212036949
"7332",2020-10-17,"Nusa Tenggara Barat",3673,209,3002,462,"Province",5270247,283.77,117.5086257,-8.606998866
"7333",2020-10-17,"Nusa Tenggara Timur",584,8,428,148,"Province",5411321,111.07,121.592271,-8.682205
"7334",2020-10-17,"Papua",8168,118,4465,3585,"Province",4340348,13.6,138.69603,-4.66620953
"7335",2020-10-17,"Papua Barat",3465,46,2512,907,"Province",1140701,11.08,132.9762624,-2.045160182
"7336",2020-10-17,"Riau",11356,260,6895,4201,"Province",6074100,69.8,101.8051092,0.511647851
"7337",2020-10-17,"Sulawesi Barat",949,12,708,229,"Province",1559984,92.93,119.3450194,-2.461746053
"7338",2020-10-17,"Sulawesi Selatan",17266,444,14862,1960,"Province",9426885,201.78,120.1620559,-3.731080714
"7339",2020-10-17,"Sulawesi Tengah",668,25,449,194,"Province",2955567,47.79,121.2010927,-1.00413668
"7340",2020-10-17,"Sulawesi Tenggara",4023,71,2521,1431,"Province",2635461,69.23,122.070311,-4.124688793
"7341",2020-10-17,"Sulawesi Utara",4959,185,4149,625,"Province",2641884,190.17,124.5212396,1.259638212
"7342",2020-10-17,"Sumatera Barat",10684,196,5774,4714,"Province",5519245,131.37,100.4650624,-0.850253225
"7343",2020-10-17,"Sumatera Selatan",7104,387,5433,1284,"Province",8217551,89.72,104.1694647,-3.216211808
"7344",2020-10-17,"Sumatera Utara",11861,497,9530,1834,"Province",14874889,203.82,99.05196442,2.191894453
"7345",2020-10-18,"Aceh",6551,243,4558,1750,"Province",5247257,90.54,96.91052174,4.225614628
"7346",2020-10-18,"Bali",10770,347,9590,833,"Province",4216171,729.43,115.1317136,-8.369471688
"7347",2020-10-18,"Banten",7721,230,5992,1499,"Province",10722374,1109.64,106.1090043,-6.456736388
"7348",2020-10-18,"Bengkulu",877,44,748,85,"Province",1999539,100.38,102.3384213,-3.533583627
"7349",2020-10-18,"DKI Jakarta",94328,2061,79286,12981,"Province",10846145,16334.31,106.8361183,-6.204698991
"7350",2020-10-18,"Daerah Istimewa Yogyakarta",3325,87,2649,589,"Province",3631015,1158.9,110.4448783,-7.89450185
"7351",2020-10-18,"Gorontalo",2967,78,2778,111,"Province",1180651,104.88,122.3760581,0.687002604
"7353",2020-10-18,"Jambi",982,20,375,587,"Province",3493357,69.79,102.7236404,-1.69769766
"7354",2020-10-18,"Jawa Barat",30232,568,20764,8900,"Province",45161325,1276.55,107.6037083,-6.920432083
"7355",2020-10-18,"Jawa Tengah",29080,1606,23438,4036,"Province",36364072,1108.64,110.2011149,-7.259097177
"7356",2020-10-18,"Jawa Timur",49009,3975,44571,463,"Province",40479023,846.78,112.7329414,-7.723345579
"7357",2020-10-18,"Kalimantan Barat",1428,10,1227,191,"Province",5422814,36.81,111.1211776,-0.086474572
"7358",2020-10-18,"Kalimantan Selatan",11442,455,10126,861,"Province",4023049,103.84,115.4385783,-2.993594979
"7359",2020-10-18,"Kalimantan Tengah",4081,145,3458,478,"Province",2570289,16.74,113.4176536,-1.602484653
"7360",2020-10-18,"Kalimantan Timur",11883,441,8885,2557,"Province",3552191,27.52,116.4684405,0.45385803
"7361",2020-10-18,"Kalimantan Utara",714,6,610,98,"Province",648407,8.59,116.2188791,2.891012621
"7362",2020-10-18,"Kepulauan Bangka Belitung",516,7,470,39,"Province",1379767,84.01,106.5499324,-2.447444127
"7363",2020-10-18,"Kepulauan Riau",2836,70,2266,500,"Province",1929400,235.24,108.261746,3.916346
"7364",2020-10-18,"Lampung",1298,51,920,327,"Province",9095591,262.7,105.0214366,-4.916792975
"7365",2020-10-18,"Maluku",3561,42,2719,800,"Province",1847097,39.37,129.576792,-3.192572
"7366",2020-10-18,"Maluku Utara",2120,74,1929,117,"Province",1307803,40.89,127.5391072,0.212036949
"7367",2020-10-18,"Nusa Tenggara Barat",3704,209,3013,482,"Province",5270247,283.77,117.5086257,-8.606998866
"7368",2020-10-18,"Nusa Tenggara Timur",587,8,428,151,"Province",5411321,111.07,121.592271,-8.682205
"7369",2020-10-18,"Papua",8239,118,4465,3656,"Province",4340348,13.6,138.69603,-4.66620953
"7370",2020-10-18,"Papua Barat",3626,47,2544,1035,"Province",1140701,11.08,132.9762624,-2.045160182
"7371",2020-10-18,"Riau",11641,264,7006,4371,"Province",6074100,69.8,101.8051092,0.511647851
"7372",2020-10-18,"Sulawesi Barat",952,12,721,219,"Province",1559984,92.93,119.3450194,-2.461746053
"7373",2020-10-18,"Sulawesi Selatan",17402,445,14979,1978,"Province",9426885,201.78,120.1620559,-3.731080714
"7374",2020-10-18,"Sulawesi Tengah",685,26,452,207,"Province",2955567,47.79,121.2010927,-1.00413668
"7375",2020-10-18,"Sulawesi Tenggara",4236,73,2572,1591,"Province",2635461,69.23,122.070311,-4.124688793
"7376",2020-10-18,"Sulawesi Utara",4985,186,4190,609,"Province",2641884,190.17,124.5212396,1.259638212
"7377",2020-10-18,"Sumatera Barat",10961,198,5881,4882,"Province",5519245,131.37,100.4650624,-0.850253225
"7378",2020-10-18,"Sumatera Selatan",7143,391,5489,1263,"Province",8217551,89.72,104.1694647,-3.216211808
"7379",2020-10-18,"Sumatera Utara",11944,499,9636,1809,"Province",14874889,203.82,99.05196442,2.191894453
"7380",2020-10-19,"Aceh",6667,245,4769,1653,"Province",5247257,90.54,96.91052174,4.225614628
"7381",2020-10-19,"Bali",10880,350,9690,840,"Province",4216171,729.43,115.1317136,-8.369471688
"7382",2020-10-19,"Banten",7843,235,6050,1558,"Province",10722374,1109.64,106.1090043,-6.456736388
"7383",2020-10-19,"Bengkulu",880,44,748,88,"Province",1999539,100.38,102.3384213,-3.533583627
"7384",2020-10-19,"DKI Jakarta",95254,2075,80414,12765,"Province",10846145,16334.31,106.8361183,-6.204698991
"7385",2020-10-19,"Daerah Istimewa Yogyakarta",3343,87,2724,532,"Province",3631015,1158.9,110.4448783,-7.89450185
"7386",2020-10-19,"Gorontalo",2969,78,2800,91,"Province",1180651,104.88,122.3760581,0.687002604
"7388",2020-10-19,"Jambi",988,21,378,589,"Province",3493357,69.79,102.7236404,-1.69769766
"7389",2020-10-19,"Jawa Barat",30747,589,21106,9052,"Province",45161325,1276.55,107.6037083,-6.920432083
"7390",2020-10-19,"Jawa Tengah",29396,1613,23772,4011,"Province",36364072,1108.64,110.2011149,-7.259097177
"7391",2020-10-19,"Jawa Timur",49241,3996,44922,323,"Province",40479023,846.78,112.7329414,-7.723345579
"7392",2020-10-19,"Kalimantan Barat",1428,10,1227,191,"Province",5422814,36.81,111.1211776,-0.086474572
"7393",2020-10-19,"Kalimantan Selatan",11450,457,10159,834,"Province",4023049,103.84,115.4385783,-2.993594979
"7394",2020-10-19,"Kalimantan Tengah",4122,145,3504,473,"Province",2570289,16.74,113.4176536,-1.602484653
"7395",2020-10-19,"Kalimantan Timur",11968,444,8958,2566,"Province",3552191,27.52,116.4684405,0.45385803
"7396",2020-10-19,"Kalimantan Utara",715,6,619,90,"Province",648407,8.59,116.2188791,2.891012621
"7397",2020-10-19,"Kepulauan Bangka Belitung",517,7,485,25,"Province",1379767,84.01,106.5499324,-2.447444127
"7398",2020-10-19,"Kepulauan Riau",2883,71,2267,545,"Province",1929400,235.24,108.261746,3.916346
"7399",2020-10-19,"Lampung",1340,53,944,343,"Province",9095591,262.7,105.0214366,-4.916792975
"7400",2020-10-19,"Maluku",3597,43,2748,806,"Province",1847097,39.37,129.576792,-3.192572
"7401",2020-10-19,"Maluku Utara",2131,74,1932,125,"Province",1307803,40.89,127.5391072,0.212036949
"7402",2020-10-19,"Nusa Tenggara Barat",3732,211,3019,502,"Province",5270247,283.77,117.5086257,-8.606998866
"7403",2020-10-19,"Nusa Tenggara Timur",588,8,428,152,"Province",5411321,111.07,121.592271,-8.682205
"7404",2020-10-19,"Papua",8239,118,4465,3656,"Province",4340348,13.6,138.69603,-4.66620953
"7405",2020-10-19,"Papua Barat",3636,49,2551,1036,"Province",1140701,11.08,132.9762624,-2.045160182
"7406",2020-10-19,"Riau",11839,269,7511,4059,"Province",6074100,69.8,101.8051092,0.511647851
"7407",2020-10-19,"Sulawesi Barat",952,12,721,219,"Province",1559984,92.93,119.3450194,-2.461746053
"7408",2020-10-19,"Sulawesi Selatan",17444,445,15067,1932,"Province",9426885,201.78,120.1620559,-3.731080714
"7409",2020-10-19,"Sulawesi Tengah",687,27,462,198,"Province",2955567,47.79,121.2010927,-1.00413668
"7410",2020-10-19,"Sulawesi Tenggara",4275,73,2681,1521,"Province",2635461,69.23,122.070311,-4.124688793
"7411",2020-10-19,"Sulawesi Utara",5026,188,4214,624,"Province",2641884,190.17,124.5212396,1.259638212
"7412",2020-10-19,"Sumatera Barat",11203,211,6051,4941,"Province",5519245,131.37,100.4650624,-0.850253225
"7413",2020-10-19,"Sumatera Selatan",7182,393,5496,1293,"Province",8217551,89.72,104.1694647,-3.216211808
"7414",2020-10-19,"Sumatera Utara",12035,503,9754,1778,"Province",14874889,203.82,99.05196442,2.191894453
"7415",2020-10-20,"Aceh",6765,247,4984,1534,"Province",5247257,90.54,96.91052174,4.225614628
"7416",2020-10-20,"Bali",10955,352,9795,808,"Province",4216171,729.43,115.1317136,-8.369471688
"7417",2020-10-20,"Banten",7931,238,6176,1517,"Province",10722374,1109.64,106.1090043,-6.456736388
"7418",2020-10-20,"Bengkulu",915,45,754,116,"Province",1999539,100.38,102.3384213,-3.533583627
"7419",2020-10-20,"DKI Jakarta",96218,2097,81251,12870,"Province",10846145,16334.31,106.8361183,-6.204698991
"7420",2020-10-20,"Daerah Istimewa Yogyakarta",3356,87,2775,494,"Province",3631015,1158.9,110.4448783,-7.89450185
"7421",2020-10-20,"Gorontalo",2969,79,2801,89,"Province",1180651,104.88,122.3760581,0.687002604
"7423",2020-10-20,"Jambi",1027,23,387,617,"Province",3493357,69.79,102.7236404,-1.69769766
"7424",2020-10-20,"Jawa Barat",31217,609,21317,9291,"Province",45161325,1276.55,107.6037083,-6.920432083
"7425",2020-10-20,"Jawa Tengah",29846,1633,24366,3847,"Province",36364072,1108.64,110.2011149,-7.259097177
"7426",2020-10-20,"Jawa Timur",49536,4008,45261,267,"Province",40479023,846.78,112.7329414,-7.723345579
"7427",2020-10-20,"Kalimantan Barat",1451,10,1255,186,"Province",5422814,36.81,111.1211776,-0.086474572
"7428",2020-10-20,"Kalimantan Selatan",11492,459,10201,832,"Province",4023049,103.84,115.4385783,-2.993594979
"7429",2020-10-20,"Kalimantan Tengah",4149,145,3581,423,"Province",2570289,16.74,113.4176536,-1.602484653
"7430",2020-10-20,"Kalimantan Timur",12036,444,9103,2489,"Province",3552191,27.52,116.4684405,0.45385803
"7431",2020-10-20,"Kalimantan Utara",715,6,619,90,"Province",648407,8.59,116.2188791,2.891012621
"7432",2020-10-20,"Kepulauan Bangka Belitung",524,7,490,27,"Province",1379767,84.01,106.5499324,-2.447444127
"7433",2020-10-20,"Kepulauan Riau",2915,73,2345,497,"Province",1929400,235.24,108.261746,3.916346
"7434",2020-10-20,"Lampung",1376,54,944,378,"Province",9095591,262.7,105.0214366,-4.916792975
"7435",2020-10-20,"Maluku",3617,43,2811,763,"Province",1847097,39.37,129.576792,-3.192572
"7436",2020-10-20,"Maluku Utara",2142,74,1951,117,"Province",1307803,40.89,127.5391072,0.212036949
"7437",2020-10-20,"Nusa Tenggara Barat",3753,213,3029,511,"Province",5270247,283.77,117.5086257,-8.606998866
"7438",2020-10-20,"Nusa Tenggara Timur",592,8,433,151,"Province",5411321,111.07,121.592271,-8.682205
"7439",2020-10-20,"Papua",8368,120,4560,3688,"Province",4340348,13.6,138.69603,-4.66620953
"7440",2020-10-20,"Papua Barat",3653,51,2654,948,"Province",1140701,11.08,132.9762624,-2.045160182
"7441",2020-10-20,"Riau",12008,271,8140,3597,"Province",6074100,69.8,101.8051092,0.511647851
"7442",2020-10-20,"Sulawesi Barat",967,12,728,227,"Province",1559984,92.93,119.3450194,-2.461746053
"7443",2020-10-20,"Sulawesi Selatan",17532,445,15166,1921,"Province",9426885,201.78,120.1620559,-3.731080714
"7444",2020-10-20,"Sulawesi Tengah",726,28,475,223,"Province",2955567,47.79,121.2010927,-1.00413668
"7445",2020-10-20,"Sulawesi Tenggara",4301,73,2919,1309,"Province",2635461,69.23,122.070311,-4.124688793
"7446",2020-10-20,"Sulawesi Utara",5048,190,4241,617,"Province",2641884,190.17,124.5212396,1.259638212
"7447",2020-10-20,"Sumatera Barat",11373,214,6161,4998,"Province",5519245,131.37,100.4650624,-0.850253225
"7448",2020-10-20,"Sumatera Selatan",7229,395,5544,1290,"Province",8217551,89.72,104.1694647,-3.216211808
"7449",2020-10-20,"Sumatera Utara",12125,507,9847,1771,"Province",14874889,203.82,99.05196442,2.191894453
"7450",2020-10-21,"Aceh",6845,250,4984,1611,"Province",5247257,90.54,96.91052174,4.225614628
"7451",2020-10-21,"Bali",11042,354,9890,798,"Province",4216171,729.43,115.1317136,-8.369471688
"7452",2020-10-21,"Banten",8102,239,6324,1539,"Province",10722374,1109.64,106.1090043,-6.456736388
"7453",2020-10-21,"Bengkulu",917,45,754,118,"Province",1999539,100.38,102.3384213,-3.533583627
"7454",2020-10-21,"DKI Jakarta",97218,2118,82324,12776,"Province",10846145,16334.31,106.8361183,-6.204698991
"7455",2020-10-21,"Daerah Istimewa Yogyakarta",3389,89,2795,505,"Province",3631015,1158.9,110.4448783,-7.89450185
"7456",2020-10-21,"Gorontalo",2972,80,2805,87,"Province",1180651,104.88,122.3760581,0.687002604
"7458",2020-10-21,"Jambi",1049,23,387,639,"Province",3493357,69.79,102.7236404,-1.69769766
"7459",2020-10-21,"Jawa Barat",31850,625,21865,9360,"Province",45161325,1276.55,107.6037083,-6.920432083
"7460",2020-10-21,"Jawa Tengah",30220,1646,24748,3826,"Province",36364072,1108.64,110.2011149,-7.259097177
"7461",2020-10-21,"Jawa Timur",49868,4025,45603,240,"Province",40479023,846.78,112.7329414,-7.723345579
"7462",2020-10-21,"Kalimantan Barat",1451,10,1255,186,"Province",5422814,36.81,111.1211776,-0.086474572
"7463",2020-10-21,"Kalimantan Selatan",11511,462,10238,811,"Province",4023049,103.84,115.4385783,-2.993594979
"7464",2020-10-21,"Kalimantan Tengah",4162,145,3598,419,"Province",2570289,16.74,113.4176536,-1.602484653
"7465",2020-10-21,"Kalimantan Timur",12219,450,9224,2545,"Province",3552191,27.52,116.4684405,0.45385803
"7466",2020-10-21,"Kalimantan Utara",735,7,628,100,"Province",648407,8.59,116.2188791,2.891012621
"7467",2020-10-21,"Kepulauan Bangka Belitung",539,7,495,37,"Province",1379767,84.01,106.5499324,-2.447444127
"7468",2020-10-21,"Kepulauan Riau",3012,74,2345,593,"Province",1929400,235.24,108.261746,3.916346
"7469",2020-10-21,"Lampung",1420,55,944,421,"Province",9095591,262.7,105.0214366,-4.916792975
"7470",2020-10-21,"Maluku",3624,44,2840,740,"Province",1847097,39.37,129.576792,-3.192572
"7471",2020-10-21,"Maluku Utara",2152,74,1951,127,"Province",1307803,40.89,127.5391072,0.212036949
"7472",2020-10-21,"Nusa Tenggara Barat",3785,214,3043,528,"Province",5270247,283.77,117.5086257,-8.606998866
"7473",2020-10-21,"Nusa Tenggara Timur",605,8,438,159,"Province",5411321,111.07,121.592271,-8.682205
"7474",2020-10-21,"Papua",8368,120,4560,3688,"Province",4340348,13.6,138.69603,-4.66620953
"7475",2020-10-21,"Papua Barat",3688,57,2700,931,"Province",1140701,11.08,132.9762624,-2.045160182
"7476",2020-10-21,"Riau",12323,280,8447,3596,"Province",6074100,69.8,101.8051092,0.511647851
"7477",2020-10-21,"Sulawesi Barat",971,12,738,221,"Province",1559984,92.93,119.3450194,-2.461746053
"7478",2020-10-21,"Sulawesi Selatan",17646,445,15353,1848,"Province",9426885,201.78,120.1620559,-3.731080714
"7479",2020-10-21,"Sulawesi Tengah",762,30,492,240,"Province",2955567,47.79,121.2010927,-1.00413668
"7480",2020-10-21,"Sulawesi Tenggara",4381,73,2984,1324,"Province",2635461,69.23,122.070311,-4.124688793
"7481",2020-10-21,"Sulawesi Utara",5075,192,4265,618,"Province",2641884,190.17,124.5212396,1.259638212
"7482",2020-10-21,"Sumatera Barat",11652,221,6429,5002,"Province",5519245,131.37,100.4650624,-0.850253225
"7483",2020-10-21,"Sumatera Selatan",7328,398,5576,1354,"Province",8217551,89.72,104.1694647,-3.216211808
"7484",2020-10-21,"Sumatera Utara",12212,510,9927,1775,"Province",14874889,203.82,99.05196442,2.191894453
"7485",2020-10-22,"Aceh",6947,253,4984,1710,"Province",5247257,90.54,96.91052174,4.225614628
"7486",2020-10-22,"Bali",11125,356,9984,785,"Province",4216171,729.43,115.1317136,-8.369471688
"7487",2020-10-22,"Banten",8322,243,6400,1679,"Province",10722374,1109.64,106.1090043,-6.456736388
"7488",2020-10-22,"Bengkulu",928,46,774,108,"Province",1999539,100.38,102.3384213,-3.533583627
"7489",2020-10-22,"DKI Jakarta",98207,2134,83481,12592,"Province",10846145,16334.31,106.8361183,-6.204698991
"7490",2020-10-22,"Daerah Istimewa Yogyakarta",3434,89,2814,531,"Province",3631015,1158.9,110.4448783,-7.89450185
"7491",2020-10-22,"Gorontalo",2975,80,2818,77,"Province",1180651,104.88,122.3760581,0.687002604
"7493",2020-10-22,"Jambi",1068,23,426,619,"Province",3493357,69.79,102.7236404,-1.69769766
"7494",2020-10-22,"Jawa Barat",32572,648,22198,9726,"Province",45161325,1276.55,107.6037083,-6.920432083
"7495",2020-10-22,"Jawa Tengah",30732,1657,25114,3961,"Province",36364072,1108.64,110.2011149,-7.259097177
"7496",2020-10-22,"Jawa Timur",50140,4047,45983,110,"Province",40479023,846.78,112.7329414,-7.723345579
"7497",2020-10-22,"Kalimantan Barat",1497,10,1267,220,"Province",5422814,36.81,111.1211776,-0.086474572
"7498",2020-10-22,"Kalimantan Selatan",11539,465,10280,794,"Province",4023049,103.84,115.4385783,-2.993594979
"7499",2020-10-22,"Kalimantan Tengah",4162,145,3598,419,"Province",2570289,16.74,113.4176536,-1.602484653
"7500",2020-10-22,"Kalimantan Timur",12478,458,9409,2611,"Province",3552191,27.52,116.4684405,0.45385803
"7501",2020-10-22,"Kalimantan Utara",752,7,633,112,"Province",648407,8.59,116.2188791,2.891012621
"7502",2020-10-22,"Kepulauan Bangka Belitung",545,7,502,36,"Province",1379767,84.01,106.5499324,-2.447444127
"7503",2020-10-22,"Kepulauan Riau",3012,74,2345,593,"Province",1929400,235.24,108.261746,3.916346
"7504",2020-10-22,"Lampung",1460,57,967,436,"Province",9095591,262.7,105.0214366,-4.916792975
"7505",2020-10-22,"Maluku",3624,44,2840,740,"Province",1847097,39.37,129.576792,-3.192572
"7506",2020-10-22,"Maluku Utara",2180,74,1951,155,"Province",1307803,40.89,127.5391072,0.212036949
"7507",2020-10-22,"Nusa Tenggara Barat",3810,215,3085,510,"Province",5270247,283.77,117.5086257,-8.606998866
"7508",2020-10-22,"Nusa Tenggara Timur",615,8,444,163,"Province",5411321,111.07,121.592271,-8.682205
"7509",2020-10-22,"Papua",8463,120,4560,3783,"Province",4340348,13.6,138.69603,-4.66620953
"7510",2020-10-22,"Papua Barat",3761,57,2716,988,"Province",1140701,11.08,132.9762624,-2.045160182
"7511",2020-10-22,"Riau",12605,286,8619,3700,"Province",6074100,69.8,101.8051092,0.511647851
"7512",2020-10-22,"Sulawesi Barat",971,12,746,213,"Province",1559984,92.93,119.3450194,-2.461746053
"7513",2020-10-22,"Sulawesi Selatan",17719,445,15454,1820,"Province",9426885,201.78,120.1620559,-3.731080714
"7514",2020-10-22,"Sulawesi Tengah",775,30,507,238,"Province",2955567,47.79,121.2010927,-1.00413668
"7515",2020-10-22,"Sulawesi Tenggara",4471,75,3084,1312,"Province",2635461,69.23,122.070311,-4.124688793
"7516",2020-10-22,"Sulawesi Utara",5088,194,4291,603,"Province",2641884,190.17,124.5212396,1.259638212
"7517",2020-10-22,"Sumatera Barat",11874,224,6543,5107,"Province",5519245,131.37,100.4650624,-0.850253225
"7518",2020-10-22,"Sumatera Selatan",7362,399,5656,1307,"Province",8217551,89.72,104.1694647,-3.216211808
"7519",2020-10-22,"Sumatera Utara",12295,513,10011,1771,"Province",14874889,203.82,99.05196442,2.191894453
"7520",2020-10-23,"Aceh",7037,257,4987,1793,"Province",5247257,90.54,96.91052174,4.225614628
"7521",2020-10-23,"Bali",11203,362,10061,780,"Province",4216171,729.43,115.1317136,-8.369471688
"7522",2020-10-23,"Banten",8467,247,6475,1745,"Province",10722374,1109.64,106.1090043,-6.456736388
"7523",2020-10-23,"Bengkulu",961,46,787,128,"Province",1999539,100.38,102.3384213,-3.533583627
"7524",2020-10-23,"DKI Jakarta",99159,2155,84574,12430,"Province",10846145,16334.31,106.8361183,-6.204698991
"7525",2020-10-23,"Daerah Istimewa Yogyakarta",3462,89,2839,534,"Province",3631015,1158.9,110.4448783,-7.89450185
"7526",2020-10-23,"Gorontalo",2975,80,2818,77,"Province",1180651,104.88,122.3760581,0.687002604
"7528",2020-10-23,"Jambi",1092,23,432,637,"Province",3493357,69.79,102.7236404,-1.69769766
"7529",2020-10-23,"Jawa Barat",33085,659,22516,9910,"Province",45161325,1276.55,107.6037083,-6.920432083
"7530",2020-10-23,"Jawa Tengah",31302,1671,25579,4052,"Province",36364072,1108.64,110.2011149,-7.259097177
"7531",2020-10-23,"Jawa Timur",50422,4069,46359,-6,"Province",40479023,846.78,112.7329414,-7.723345579
"7532",2020-10-23,"Kalimantan Barat",1528,10,1282,236,"Province",5422814,36.81,111.1211776,-0.086474572
"7533",2020-10-23,"Kalimantan Selatan",11587,468,10360,759,"Province",4023049,103.84,115.4385783,-2.993594979
"7534",2020-10-23,"Kalimantan Tengah",4213,147,3653,413,"Province",2570289,16.74,113.4176536,-1.602484653
"7535",2020-10-23,"Kalimantan Timur",12701,460,9645,2596,"Province",3552191,27.52,116.4684405,0.45385803
"7536",2020-10-23,"Kalimantan Utara",761,7,645,109,"Province",648407,8.59,116.2188791,2.891012621
"7537",2020-10-23,"Kepulauan Bangka Belitung",545,7,505,33,"Province",1379767,84.01,106.5499324,-2.447444127
"7538",2020-10-23,"Kepulauan Riau",3126,81,2371,674,"Province",1929400,235.24,108.261746,3.916346
"7539",2020-10-23,"Lampung",1522,59,971,492,"Province",9095591,262.7,105.0214366,-4.916792975
"7540",2020-10-23,"Maluku",3650,44,2889,717,"Province",1847097,39.37,129.576792,-3.192572
"7541",2020-10-23,"Maluku Utara",2187,74,1951,162,"Province",1307803,40.89,127.5391072,0.212036949
"7542",2020-10-23,"Nusa Tenggara Barat",3830,216,3112,502,"Province",5270247,283.77,117.5086257,-8.606998866
"7543",2020-10-23,"Nusa Tenggara Timur",634,8,456,170,"Province",5411321,111.07,121.592271,-8.682205
"7544",2020-10-23,"Papua",8512,120,4560,3832,"Province",4340348,13.6,138.69603,-4.66620953
"7545",2020-10-23,"Papua Barat",3858,59,2754,1045,"Province",1140701,11.08,132.9762624,-2.045160182
"7546",2020-10-23,"Riau",12880,292,8873,3715,"Province",6074100,69.8,101.8051092,0.511647851
"7547",2020-10-23,"Sulawesi Barat",971,12,748,211,"Province",1559984,92.93,119.3450194,-2.461746053
"7548",2020-10-23,"Sulawesi Selatan",17779,447,15541,1791,"Province",9426885,201.78,120.1620559,-3.731080714
"7549",2020-10-23,"Sulawesi Tengah",787,31,525,231,"Province",2955567,47.79,121.2010927,-1.00413668
"7550",2020-10-23,"Sulawesi Tenggara",4548,76,3158,1314,"Province",2635461,69.23,122.070311,-4.124688793
"7551",2020-10-23,"Sulawesi Utara",5133,194,4319,620,"Province",2641884,190.17,124.5212396,1.259638212
"7552",2020-10-23,"Sumatera Barat",12131,231,7066,4834,"Province",5519245,131.37,100.4650624,-0.850253225
"7553",2020-10-23,"Sumatera Selatan",7435,407,5718,1310,"Province",8217551,89.72,104.1694647,-3.216211808
"7554",2020-10-23,"Sumatera Utara",12386,515,10083,1788,"Province",14874889,203.82,99.05196442,2.191894453
"7555",2020-10-24,"Aceh",7125,262,4987,1876,"Province",5247257,90.54,96.91052174,4.225614628
"7556",2020-10-24,"Bali",11279,372,10150,757,"Province",4216171,729.43,115.1317136,-8.369471688
"7557",2020-10-24,"Banten",8569,249,6610,1710,"Province",10722374,1109.64,106.1090043,-6.456736388
"7558",2020-10-24,"Bengkulu",969,47,787,135,"Province",1999539,100.38,102.3384213,-3.533583627
"7559",2020-10-24,"DKI Jakarta",100221,2175,85731,12315,"Province",10846145,16334.31,106.8361183,-6.204698991
"7560",2020-10-24,"Daerah Istimewa Yogyakarta",3506,89,2875,542,"Province",3631015,1158.9,110.4448783,-7.89450185
"7561",2020-10-24,"Gorontalo",2982,80,2820,82,"Province",1180651,104.88,122.3760581,0.687002604
"7563",2020-10-24,"Jambi",1118,23,454,641,"Province",3493357,69.79,102.7236404,-1.69769766
"7564",2020-10-24,"Jawa Barat",33524,678,23168,9678,"Province",45161325,1276.55,107.6037083,-6.920432083
